Mullikens electronegativity ÷c,Standard enthalpy of formation of metal oxide nanocluster ÄHcf,Toxicity Index
-0.1890650105867776,1.0,0.3757191590495975
-0.11110976428304072,-0.0042503273362621725,-0.14428888901535483
-0.2475117023106921,0.08334954276052499,-0.23699456980307704
0.2624683677768999,-0.0935782694369771,0.24659382523033668
-0.24405195801111643,-0.012763854295412953,-0.10947524743846555
-0.5724197054661436,0.10480356648360792,-0.3225204149320883
-0.7771150029834122,0.14814806427589114,-0.7025253099883431
0.25933586165779626,-0.05211072685085348,0.3488977525230388
-0.04291442026541472,-0.17525798281838592,-0.1703574121173724
0.25811617761140526,-0.05147938667883406,0.3484177373614001
